bias	x,y,class
1	182.81539747835615,-77.7912404834482,0
1	-26.913314048886093,-121.41559071492537,0
1	-215.11387227202016,106.12470064789619,0
1	222.49683778113803,-122.56311684492054,0
1	-154.00533218775453,212.5688533811434,0
1	92.50235062766433,-164.39500007404962,0
1	147.8421020694123,-178.5792886100478,0
1	-193.26943680919288,-222.9453263140289,0
1	-127.79872391589153,96.94547583696249,0
1	91.64915481573894,-157.5597750894695,0
1	-13.792749322488874,115.48427862750162,0
1	234.95181169536932,103.93941376339012,0
1	215.36789540799316,30.146036997605563,0
1	191.319330707108,57.838318737606755,0
1	210.2078736204732,221.63941309605735,0
1	-60.52372067026789,202.57970056372272,0
1	121.8648227452864,-202.022248285256,0
1	217.34125222221456,-77.12816473078843,0
1	-34.14865838639324,-69.14582948323167,0
1	-179.8138809744666,208.4714836362366,0
1	-194.03353717615158,-109.40646001206883,0
1	136.81772181322276,-194.74521194735019,0
1	-23.792377603473142,-210.82093414805058,0
1	-192.55400357209072,-167.96074104126873,0
1	-42.227753987743654,-110.46692932827034,0
1	68.85159131763447,180.05212630712606,0
1	183.57891301679075,156.25196567190198,0
1	81.60838890561286,210.01912346862684,0
1	-174.85472732079631,-89.22482078600319,0
1	47.48268891605812,-134.9001614884598,0
1	72.35855923330956,-205.72954065735976,0
1	233.2570340556502,92.15854396240508,0
1	36.973905422530436,-33.56057541511359,1
1	-130.26817625983594,-243.0133813702205,0
1	7.894636249052837,-35.55879320289307,1
1	177.24827848440856,-176.100674008621,0
1	208.4644753832792,-115.130225462245,0
1	-87.02520021967268,129.22088908353663,0
1	249.06934472564296,-9.565539183429053,0
1	-146.59789968081856,-135.66228116763375,0
1	191.4846343570419,137.00752992699768,0
1	-61.32394510983886,-48.73471620202142,0
1	248.02231257314963,-25.537114673128144,0
1	170.46183048042843,104.92396162305539,0
1	115.97070488463686,39.75695695234913,0
1	55.97490134762711,13.273643128884316,0
1	-215.93619241500068,-190.4819357631547,0
1	-88.1646092603809,-41.69986528116638,0
1	-165.62429300309526,-1.88193383729336,0
1	233.54805744391103,211.36283007427255,0
1	67.50926377667037,7.871231401469856,0
1	216.72460969202058,140.08295766809363,0
1	-242.18197050245348,61.8000792421044,0
1	-60.13668705345037,125.6391088256392,0
1	86.38200556781169,73.37972056049898,0
1	-141.2170299988768,151.7677575503768,0
1	209.6652018800669,-5.43205146815319,0
1	189.18749313442123,88.00380038639406,0
1	74.68695630570414,208.70327473984042,0
1	61.33615643783821,-34.561072771911995,0
1	167.69313926772566,21.043291502534316,0
1	164.59548647493165,-98.88203418199171,0
1	-104.08203192063243,35.03350284007672,0
1	242.0150640014973,-100.12391702821537,0
1	3.6126160734139603,109.68909069813617,0
1	202.459270169668,246.08293044634706,0
1	22.257214311834275,119.50718103952823,0
1	7.478763162177984,47.76906372342603,1
1	189.41179469178786,167.72226543494776,0
1	-46.47164988588048,-118.1481625845544,0
1	-201.73436756772372,-157.62719731369273,0
1	-159.45603056877167,-162.3749657890849,0
1	-149.5504078798956,-158.27173072418367,0
1	-208.23415737829907,-239.22593020592785,0
1	-161.87511204692723,-207.7822747037067,0
1	13.7043072087381,88.3055673519637,0
1	163.6636559638482,-200.27895658769523,0
1	242.4546642870922,-180.21436409105053,0
1	173.33855310569112,-218.91725152270786,0
1	116.7187806864024,-243.7554815729917,0
1	-27.648306996236443,65.7309157859521,0
1	-61.614797891664125,-202.14520996810091,0
1	239.68144748127747,-166.29661460875084,0
1	-26.986085319694382,207.50961979724053,0
1	86.44140446810798,-111.59963667659818,0
1	67.34851002533838,190.31370109629444,0
1	147.86138392145097,-50.477016959962384,0
1	23.37762902301762,-22.378487566150852,1
1	-138.4375678114647,-84.6584036851823,0
1	-142.00079985316887,-245.0302104107121,0
1	144.56051605696456,45.31838623004995,0
1	48.22021533914341,236.35229143766736,0
1	-123.21785043307482,-33.98450820034137,0
1	-99.13818120413649,197.89576915816667,0
1	-78.56206930709891,-5.804431489718979,0
1	-117.83914034723514,-4.392814737530159,0
1	-15.203273930216966,-185.64188430666718,0
1	19.96288868617711,5.176707773601919,1
